gene_id	chr	strand	transcript_id
BLTP2	NC_000017.11	-	['NM_014680.5 (MANE)', 'NM_001321560.2', 'NM_001321561.2', 'NM_001363826.1', 'NM_001363827.1', 'NM_001363828.1', 'NM_001363829.1', 'XM_047437146.1']
BLTP3A	NC_000006.12	+	['NM_017754.4 (MANE)']
BLTP3B	NC_000012.12	-	['NM_015054.2 (MANE)', 'NM_001006947.2', 'XM_005268739.5', 'XM_011538054.4', 'XM_017019049.2', 'XM_047428554.1', 'XM_047428555.1']
BLVRA	NC_000007.14	+	['NM_000712.4 (MANE)', 'NM_001253823.2', 'XM_011515474.3', 'XM_017012520.3', 'XM_024446867.2']
BLVRB	NC_000019.10	-	['NM_000713.3 (MANE)']
BLZF1	NC_000001.11	+	['NM_001320973.2 (MANE)', 'NM_001320972.2', 'NM_003666.4']
BMAL1	NC_000011.10	+	['NM_001297719.2 (MANE)', 'NM_001030272.3', 'NM_001030273.3', 'NM_001178.6', 'NM_001297722.2', 'NM_001297724.2', 'NM_001351804.1', 'NM_001351805.2', 'NM_001351806.2', 'NM_001351807.2', 'NM_001351808.2', 'NM_001351809.2', 'NM_001351810.2', 'NM_001351811.2', 'NM_001351812.2', 'NM_001351813.2', 'NM_001351814.2', 'NM_001351815.2', 'NM_001351816.2', 'NM_001351817.2', 'NM_001351818.2', 'NM_001351819.2', 'NM_001351820.2', 'NM_001351821.2', 'NM_001351822.2', 'NM_001351823.2', 'NM_001351824.2', 'XM_011520105.4', 'XM_011520107.4', 'XM_011520109.2', 'XM_017017738.3', 'XM_017017739.3', 'XM_017017741.2', 'XM_024448522.1', 'XM_047426952.1', 'XM_047426953.1', 'XM_047426954.1', 'XM_047426955.1', 'XM_047426956.1', 'XM_047426957.1', 'XM_047426958.1']
BMAL2	NC_000012.12	+	['NM_020183.6 (MANE)', 'NM_001248002.3', 'NM_001248003.3', 'NM_001248004.3', 'NM_001248005.3', 'NM_001394524.1', 'NM_001394525.1', 'NM_001394526.1', 'NM_001394527.1', 'NM_001394528.1', 'NM_001394529.1', 'XM_006719114.3', 'XM_011520768.3', 'XM_011520769.3', 'XM_017019668.1', 'XM_017019669.1', 'XM_047429171.1', 'XM_047429172.1', 'XM_047429173.1', 'XM_047429174.1']
BMERB1	NC_000016.10	+	['NM_033201.3 (MANE)', 'NM_001142469.2']
BMF	NC_000015.10	-	['NM_001003940.2 (MANE)', 'NM_001003942.2', 'NM_001003943.3', 'NM_001398495.1', 'NM_001398496.1', 'NM_001398497.1', 'NM_001398498.1', 'NM_001398499.1', 'NM_001398500.1', 'NM_001398501.1', 'NM_001398502.1', 'NM_001398503.1', 'NM_001398504.1', 'NM_001398505.1', 'NM_001398506.1', 'NM_001398507.1', 'NM_001398508.1', 'NM_001398509.1', 'NM_001398510.1', 'NM_033503.4']
BMI1	NC_000010.11	+	['NM_005180.9 (MANE)', 'NM_001428309.1', 'NM_001428310.1', 'NM_001428311.1', 'NM_001428312.1']
BMP1	NC_000008.11	+	['NM_001199.4 (MANE)', 'NM_006129.5 (MANE)']
BMP10	NC_000002.12	-	['NM_014482.3 (MANE)']
BMP15	NC_000023.11	+	['NM_005448.2 (MANE)']
BMP2	NC_000020.11	+	['NM_001200.4 (MANE)']
BMP2K	NC_000004.12	+	['NM_198892.2 (MANE)', 'NM_001419799.1', 'NM_001419800.1', 'NM_017593.5', 'XM_017008381.2', 'XM_047415931.1', 'XM_047415932.1']
BMP3	NC_000004.12	+	['NM_001201.5 (MANE)', 'XM_006714291.4']
BMP4	NC_000014.9	-	['NM_001202.6 (MANE)', 'NM_001347912.1', 'NM_001347913.2', 'NM_001347914.2', 'NM_001347915.2', 'NM_001347916.1', 'NM_001347917.1', 'NM_130850.5', 'NM_130851.4']
BMP5	NC_000006.12	-	['NM_021073.4 (MANE)', 'NM_001329754.2', 'NM_001329756.2', 'XM_011514817.4', 'XM_024446524.2']
BMP6	NC_000006.12	+	['NM_001718.6 (MANE)']
BMP7	NC_000020.11	-	['NM_001719.3 (MANE)']
BMP8A	NC_000001.11	+	['NM_181809.4 (MANE)', 'XM_006710616.4', 'XM_011541381.3', 'XM_011541382.3', 'XM_017001198.3']
BMP8B	NC_000001.11	-	['NM_001720.5 (MANE)', 'XM_005271149.5', 'XM_011542022.3', 'XM_011542024.3', 'XM_011542025.3', 'XM_017002155.2', 'XM_017002156.2', 'XM_024449299.2']
BMPER	NC_000007.14	+	['NM_001365308.1 (MANE)', 'NM_001410872.1', 'NM_133468.5', 'XM_047419939.1']
BMPR1A	NC_000010.11	+	['NM_004329.3 (MANE)', 'NM_001406559.1', 'NM_001406560.1', 'NM_001406561.1', 'NM_001406562.1', 'NM_001406563.1', 'NM_001406564.1', 'NM_001406565.1', 'NM_001406566.1', 'NM_001406567.1', 'NM_001406568.1', 'NM_001406569.1', 'NM_001406570.1', 'NM_001406571.1', 'NM_001406572.1', 'NM_001406573.1', 'NM_001406574.1', 'NM_001406575.1', 'NM_001406576.1', 'NM_001406577.1', 'NM_001406578.1', 'NM_001406579.1', 'NM_001406580.1', 'NM_001406581.1', 'NM_001406582.1', 'NM_001406583.1', 'NM_001406584.1', 'NM_001406585.1', 'NM_001406586.1', 'NM_001406587.1', 'NM_001406588.1', 'NM_001406589.1', 'XM_047425680.1']
BMPR1B	NC_000004.12	+	['NM_001203.3 (MANE)', 'NM_001256792.2', 'NM_001256793.2', 'NM_001256794.1', 'XM_011532201.3', 'XM_017008558.2', 'XM_017008559.2', 'XM_017008560.2', 'XM_047416091.1', 'XM_047416093.1', 'XM_047416094.1', 'XM_047416095.1']
BMPR2	NC_000002.12	+	['NM_001204.7 (MANE)', 'XM_011511687.2']
BMS1	NC_000010.11	+	['NM_014753.4 (MANE)', 'XM_005271846.4', 'XM_011540402.3', 'XM_047426040.1', 'XM_047426041.1', 'XM_047426042.1', 'XM_047426043.1']
BMX	NC_000023.11	+	['NM_203281.3 (MANE)', 'NM_001320866.2', 'NM_001721.7', 'XM_017029752.3']
BNC1	NC_000015.10	-	['NM_001717.4 (MANE)', 'NM_001301206.2', 'XM_011521893.2', 'XM_011521894.1']
BNC2	NC_000009.12	-	['NM_017637.6 (MANE)', 'NM_001317939.2', 'NM_001317940.2', 'XM_047423480.1', 'XM_047423481.1', 'XM_047423482.1', 'XM_047423483.1', 'XM_047423484.1', 'XM_047423485.1', 'XM_047423486.1', 'XM_047423487.1', 'XM_047423488.1', 'XM_047423489.1', 'XM_047423490.1', 'XM_047423491.1', 'XM_047423492.1', 'XM_047423493.1', 'XM_047423494.1', 'XM_047423495.1', 'XM_047423496.1', 'XM_047423497.1', 'XM_047423498.1', 'XM_047423500.1', 'XM_047423501.1', 'XM_047423502.1', 'XM_047423503.1', 'XM_047423504.1', 'XM_047423505.1', 'XM_047423506.1', 'XM_047423507.1', 'XM_047423508.1', 'XM_047423509.1', 'XM_047423510.1', 'XM_047423511.1', 'XM_047423512.1', 'XM_047423513.1', 'XM_047423514.1', 'XM_047423515.1', 'XM_047423516.1', 'XM_047423517.1']
BNIP1	NC_000005.10	+	['NM_001205.3 (MANE)', 'NM_013978.3', 'NM_013979.3', 'NM_013980.3', 'XM_011534638.2', 'XM_011534639.2', 'XM_047417623.1', 'XM_047417624.1']
BNIP2	NC_000015.10	-	['NM_004330.4 (MANE)', 'NM_001320674.2', 'NM_001320675.4', 'NM_001368057.1', 'NM_001368058.1', 'NM_001368059.1', 'NM_001368060.1', 'NM_001368061.1']
BNIP3	NC_000010.11	-	['NM_004052.4 (MANE)']
BNIP3L	NC_000008.11	+	['NM_004331.3 (MANE)', 'NM_001330491.2']
BNIP5	NC_000006.12	-	['NM_001010903.5 (MANE)', 'XM_011514596.3', 'XM_011514597.3', 'XM_011514598.3']
BNIPL	NC_000001.11	+	['NM_138278.4 (MANE)', 'NM_001159642.2', 'XM_024453496.2', 'XM_047447313.1', 'XM_047447315.1']
BOC	NC_000003.12	+	['NM_001378074.1 (MANE)', 'NM_001301861.2', 'NM_001301867.2', 'NM_001378073.1', 'NM_001378075.1', 'NM_001387919.1', 'NM_001387920.1', 'NM_001387921.1', 'NM_001387922.1', 'NM_001387923.1', 'NM_001387924.1', 'NM_001387925.1', 'NM_001387926.1', 'NM_001387927.1', 'NM_001387928.1', 'NM_001387929.1', 'NM_001387930.1', 'NM_001387932.1', 'NM_033254.4', 'XM_017007446.2', 'XM_017007450.3', 'XM_017007455.2', 'XM_047449173.1', 'XM_047449175.1', 'XM_047449176.1', 'XM_047449177.1', 'XM_047449178.1', 'XM_047449179.1', 'XM_047449180.1', 'XM_047449181.1', 'XM_047449182.1', 'XM_047449183.1', 'XM_047449184.1', 'XM_047449185.1', 'XM_047449186.1', 'XM_047449187.1', 'XM_047449188.1', 'XM_047449189.1', 'XM_047449190.1', 'XM_047449191.1', 'XM_047449192.1']
BOD1	NC_000005.10	-	['NM_138369.3 (MANE)', 'NM_001159651.3']
BOD1L1	NC_000004.12	-	['NM_148894.3 (MANE)', 'XM_005248150.4', 'XM_005248151.4', 'XM_006713958.4', 'XM_011513827.3', 'XM_011513829.3', 'XM_011513830.4', 'XM_017008009.2', 'XM_017008010.2', 'XM_047450037.1']
BOD1L2	NC_000018.10	+	['NM_001257964.2 (MANE)']
BOK	NC_000002.12	+	['NM_032515.5 (MANE)', 'XM_011511696.3', 'XM_011511697.4', 'XM_047445587.1', 'XM_047445588.1', 'XM_047445589.1', 'XM_047445590.1']
BOLA1	NC_000001.11	+	['NM_016074.5 (MANE)', 'NM_001321025.2', 'NM_001321026.2', 'XM_006711348.4']
BOLA2	NC_000016.10	-	['NM_001031827.3 (MANE)', 'NM_001320579.1']
BOLA2-SMG1P6	NC_000016.10	-	['NM_001320622.1', 'NM_001320623.1', 'NM_001320624.1', 'NM_001320625.1', 'NM_001320627.1', 'NM_001320628.1']
BOLA2B	NC_000016.10	-	['NM_001039182.4 (MANE)', 'NM_001320607.3']
BOLA3	NC_000002.12	-	['NM_212552.3 (MANE)', 'NM_001035505.2']
BOLL	NC_000002.12	-	['NM_033030.6 (MANE)', 'NM_001284358.2', 'NM_001284361.2', 'NM_001284362.2', 'NM_197970.3', 'XM_006712715.5', 'XM_011511692.4', 'XM_011511693.4', 'XM_011511694.3', 'XM_017004773.3', 'XM_024453053.2', 'XM_047445580.1']
BOP1	NC_000008.11	-	['NM_015201.5 (MANE)']
BORA	NC_000013.11	+	['NM_024808.5 (MANE)', 'NM_001286746.3', 'NM_001286747.2', 'NM_001366664.2']
BORCS5	NC_000012.12	+	['NM_058169.6 (MANE)', 'NM_001300742.3', 'NM_001330356.2', 'XM_011520551.3', 'XM_011520553.3', 'XM_047428271.1']
BORCS6	NC_000017.11	-	['NM_017622.3 (MANE)']
BORCS7	NC_000010.11	+	['NM_001136200.2 (MANE)', 'NM_144591.5']
BORCS8	NC_000019.10	-	['NM_001145784.2 (MANE)', 'NM_001145783.2']
BORCS8-MEF2B	NC_000019.10	-	['NM_005919.4']
BPGM	NC_000007.14	+	['NM_001724.5 (MANE)', 'NM_001293085.2', 'NM_199186.3', 'XM_011516527.3', 'XM_047420761.1']
BPHL	NC_000006.12	+	['NM_004332.4 (MANE)', 'NM_001302777.1', 'XM_047419266.1', 'XM_047419267.1']
BPI	NC_000020.11	+	['NM_001725.3 (MANE)', 'XM_024451972.2', 'XM_047440393.1', 'XM_047440394.1', 'XM_047440395.1']
BPIFA1	NC_000020.11	+	['NM_130852.3 (MANE)', 'NM_001243193.2', 'NM_016583.4']
BPIFA2	NC_000020.11	+	['NM_080574.4 (MANE)', 'NM_001319164.2']
BPIFA3	NC_000020.11	+	['NM_178466.5 (MANE)', 'NM_001042439.2']
BPIFB1	NC_000020.11	+	['NM_033197.3 (MANE)']
BPIFB2	NC_000020.11	+	['NM_025227.3 (MANE)']
BPIFB3	NC_000020.11	+	['NM_001376932.3 (MANE)', 'NM_182658.5']
BPIFB4	NC_000020.11	+	['NM_182519.3 (MANE)']
BPIFB6	NC_000020.11	+	['NM_174897.2 (MANE)', 'XM_017027663.1']
BPIFC	NC_000022.11	-	['NM_174932.3 (MANE)', 'XM_011530089.2', 'XM_011530090.2', 'XM_017028740.2', 'XM_047441302.1', 'XM_047441303.1']
BPNT1	NC_000001.11	-	['NM_006085.6 (MANE)', 'NM_001286149.2', 'NM_001286150.2', 'NM_001286151.2', 'XM_005272998.4', 'XM_005272999.6', 'XM_005273000.6', 'XM_005273004.4', 'XM_005273005.5', 'XM_006711114.4', 'XM_011509063.3', 'XM_011509065.4', 'XM_017000043.2', 'XM_017000045.3', 'XM_047429467.1', 'XM_047429573.1', 'XM_047429624.1', 'XM_047429666.1']
BPNT2	NC_000008.11	-	['NM_017813.5 (MANE)', 'XM_047421917.1']
BPTF	NC_000017.11	+	['NM_182641.4 (MANE)', 'NM_004459.7', 'XM_005257150.4', 'XM_005257151.4', 'XM_005257152.4', 'XM_005257153.4', 'XM_005257154.4', 'XM_005257155.4', 'XM_005257156.4', 'XM_005257157.4', 'XM_005257158.4', 'XM_005257159.3', 'XM_005257160.3', 'XM_005257161.4', 'XM_011524520.3', 'XM_011524522.3', 'XM_011524523.3', 'XM_011524524.4', 'XM_011524525.3', 'XM_011524526.3', 'XM_017024353.3', 'XM_017024354.3', 'XM_024450646.2', 'XM_024450647.2', 'XM_047435596.1', 'XM_047435597.1', 'XM_047435598.1', 'XM_047435599.1', 'XM_047435600.1', 'XM_047435601.1', 'XM_047435602.1', 'XM_047435603.1', 'XM_047435604.1', 'XM_047435605.1', 'XM_047435606.1', 'XM_047435607.1', 'XM_047435608.1', 'XM_047435609.1', 'XM_047435610.1', 'XM_047435611.1', 'XM_047435612.1', 'XM_047435613.1', 'XM_047435614.1', 'XM_047435615.1', 'XM_047435616.1', 'XM_047435617.1', 'XM_047435618.1', 'XM_047435619.1', 'XM_047435620.1', 'XM_047435621.1']
BPY2	NC_000024.10	+	['NM_004678.3 (MANE)']
BPY2B	NC_000024.10	+	['NM_001002760.1 (MANE)']
BPY2C	NC_000024.10	-	['NM_001002761.1 (MANE)']
BRAF	NC_000007.14	-	['NM_001374258.1 (MANE)', 'NM_004333.6 (MANE)', 'NM_001354609.2', 'NM_001374244.1', 'NM_001378467.1', 'NM_001378468.1', 'NM_001378469.1', 'NM_001378470.1', 'NM_001378471.1', 'NM_001378472.1', 'NM_001378473.1', 'NM_001378474.1', 'NM_001378475.1', 'XM_017012559.2', 'XM_047420766.1', 'XM_047420767.1', 'XM_047420768.1', 'XM_047420769.1', 'XM_047420770.1']
BRAP	NC_000012.12	-	['NM_006768.5 (MANE)', 'XM_005253944.5', 'XM_017019992.2', 'XM_047429622.1', 'XM_047429623.1']
BRAT1	NC_000007.14	-	['NM_152743.4 (MANE)', 'NM_001350626.2', 'NM_001350627.2', 'XM_011515177.3', 'XM_011515178.2', 'XM_011515179.3', 'XM_011515181.3', 'XM_011515184.4', 'XM_011515186.3', 'XM_017011834.2', 'XM_017011836.3', 'XM_024446682.2', 'XM_047420028.1', 'XM_047420030.1', 'XM_047420031.1', 'XM_047420032.1', 'XM_047420033.1', 'XM_047420034.1', 'XM_047420035.1', 'XM_047420036.1']
BRCA1	NC_000017.11	-	['NM_007294.4 (MANE)', 'NM_001407571.1', 'NM_001407581.1', 'NM_001407582.1', 'NM_001407583.1', 'NM_001407585.1', 'NM_001407587.1', 'NM_001407590.1', 'NM_001407591.1', 'NM_001407593.1', 'NM_001407594.1', 'NM_001407596.1', 'NM_001407597.1', 'NM_001407598.1', 'NM_001407602.1', 'NM_001407603.1', 'NM_001407605.1', 'NM_001407610.1', 'NM_001407611.1', 'NM_001407612.1', 'NM_001407613.1', 'NM_001407614.1', 'NM_001407615.1', 'NM_001407616.1', 'NM_001407617.1', 'NM_001407618.1', 'NM_001407619.1', 'NM_001407620.1', 'NM_001407621.1', 'NM_001407622.1', 'NM_001407623.1', 'NM_001407624.1', 'NM_001407625.1', 'NM_001407626.1', 'NM_001407627.1', 'NM_001407628.1', 'NM_001407629.1', 'NM_001407630.1', 'NM_001407631.1', 'NM_001407632.1', 'NM_001407633.1', 'NM_001407634.1', 'NM_001407635.1', 'NM_001407636.1', 'NM_001407637.1', 'NM_001407638.1', 'NM_001407639.1', 'NM_001407640.1', 'NM_001407641.1', 'NM_001407642.1', 'NM_001407644.1', 'NM_001407645.1', 'NM_001407646.1', 'NM_001407647.1', 'NM_001407648.1', 'NM_001407649.1', 'NM_001407652.1', 'NM_001407653.1', 'NM_001407654.1', 'NM_001407655.1', 'NM_001407656.1', 'NM_001407657.1', 'NM_001407658.1', 'NM_001407659.1', 'NM_001407660.1', 'NM_001407661.1', 'NM_001407662.1', 'NM_001407663.1', 'NM_001407664.1', 'NM_001407665.1', 'NM_001407666.1', 'NM_001407667.1', 'NM_001407668.1', 'NM_001407669.1', 'NM_001407670.1', 'NM_001407671.1', 'NM_001407672.1', 'NM_001407673.1', 'NM_001407674.1', 'NM_001407675.1', 'NM_001407676.1', 'NM_001407677.1', 'NM_001407678.1', 'NM_001407679.1', 'NM_001407680.1', 'NM_001407681.1', 'NM_001407682.1', 'NM_001407683.1', 'NM_001407684.1', 'NM_001407685.1', 'NM_001407686.1', 'NM_001407687.1', 'NM_001407688.1', 'NM_001407689.1', 'NM_001407690.1', 'NM_001407691.1', 'NM_001407692.1', 'NM_001407694.1', 'NM_001407695.1', 'NM_001407696.1', 'NM_001407697.1', 'NM_001407698.1', 'NM_001407724.1', 'NM_001407725.1', 'NM_001407726.1', 'NM_001407727.1', 'NM_001407728.1', 'NM_001407729.1', 'NM_001407730.1', 'NM_001407731.1', 'NM_001407732.1', 'NM_001407733.1', 'NM_001407734.1', 'NM_001407735.1', 'NM_001407736.1', 'NM_001407737.1', 'NM_001407738.1', 'NM_001407739.1', 'NM_001407740.1', 'NM_001407741.1', 'NM_001407742.1', 'NM_001407743.1', 'NM_001407744.1', 'NM_001407745.1', 'NM_001407746.1', 'NM_001407747.1', 'NM_001407748.1', 'NM_001407749.1', 'NM_001407750.1', 'NM_001407751.1', 'NM_001407752.1', 'NM_001407838.1', 'NM_001407839.1', 'NM_001407841.1', 'NM_001407842.1', 'NM_001407843.1', 'NM_001407844.1', 'NM_001407845.1', 'NM_001407846.1', 'NM_001407847.1', 'NM_001407848.1', 'NM_001407849.1', 'NM_001407850.1', 'NM_001407851.1', 'NM_001407852.1', 'NM_001407853.1', 'NM_001407854.1', 'NM_001407858.1', 'NM_001407859.1', 'NM_001407860.1', 'NM_001407861.1', 'NM_001407862.1', 'NM_001407863.1', 'NM_001407874.1', 'NM_001407875.1', 'NM_001407879.1', 'NM_001407881.1', 'NM_001407882.1', 'NM_001407884.1', 'NM_001407885.1', 'NM_001407886.1', 'NM_001407887.1', 'NM_001407889.1', 'NM_001407894.1', 'NM_001407895.1', 'NM_001407896.1', 'NM_001407897.1', 'NM_001407898.1', 'NM_001407899.1', 'NM_001407900.1', 'NM_001407902.1', 'NM_001407904.1', 'NM_001407906.1', 'NM_001407907.1', 'NM_001407908.1', 'NM_001407909.1', 'NM_001407910.1', 'NM_001407915.1', 'NM_001407916.1', 'NM_001407917.1', 'NM_001407918.1', 'NM_001407919.1', 'NM_001407920.1', 'NM_001407921.1', 'NM_001407922.1', 'NM_001407923.1', 'NM_001407924.1', 'NM_001407925.1', 'NM_001407926.1', 'NM_001407927.1', 'NM_001407928.1', 'NM_001407929.1', 'NM_001407930.1', 'NM_001407931.1', 'NM_001407932.1', 'NM_001407933.1', 'NM_001407934.1', 'NM_001407935.1', 'NM_001407936.1', 'NM_001407937.1', 'NM_001407938.1', 'NM_001407939.1', 'NM_001407940.1', 'NM_001407941.1', 'NM_001407942.1', 'NM_001407943.1', 'NM_001407944.1', 'NM_001407945.1', 'NM_001407946.1', 'NM_001407947.1', 'NM_001407948.1', 'NM_001407949.1', 'NM_001407950.1', 'NM_001407951.1', 'NM_001407952.1', 'NM_001407953.1', 'NM_001407954.1', 'NM_001407955.1', 'NM_001407956.1', 'NM_001407957.1', 'NM_001407958.1', 'NM_001407959.1', 'NM_001407960.1', 'NM_001407962.1', 'NM_001407963.1', 'NM_001407964.1', 'NM_001407965.1', 'NM_001407966.1', 'NM_001407967.1', 'NM_001407968.1', 'NM_001407969.1', 'NM_001407970.1', 'NM_001407971.1', 'NM_001407972.1', 'NM_001407973.1', 'NM_001407974.1', 'NM_001407975.1', 'NM_001407976.1', 'NM_001407977.1', 'NM_001407978.1', 'NM_001407979.1', 'NM_001407980.1', 'NM_001407981.1', 'NM_001407982.1', 'NM_001407983.1', 'NM_001407984.1', 'NM_001407985.1', 'NM_001407986.1', 'NM_001407990.1', 'NM_001407991.1', 'NM_001407992.1', 'NM_001407993.1', 'NM_001408392.1', 'NM_001408396.1', 'NM_001408397.1', 'NM_001408398.1', 'NM_001408399.1', 'NM_001408400.1', 'NM_001408401.1', 'NM_001408402.1', 'NM_001408403.1', 'NM_001408404.1', 'NM_001408406.1', 'NM_001408407.1', 'NM_001408408.1', 'NM_001408409.1', 'NM_001408410.1', 'NM_001408411.1', 'NM_001408412.1', 'NM_001408413.1', 'NM_001408414.1', 'NM_001408415.1', 'NM_001408416.1', 'NM_001408418.1', 'NM_001408419.1', 'NM_001408420.1', 'NM_001408421.1', 'NM_001408422.1', 'NM_001408423.1', 'NM_001408424.1', 'NM_001408425.1', 'NM_001408426.1', 'NM_001408427.1', 'NM_001408428.1', 'NM_001408429.1', 'NM_001408430.1', 'NM_001408431.1', 'NM_001408432.1', 'NM_001408433.1', 'NM_001408434.1', 'NM_001408435.1', 'NM_001408436.1', 'NM_001408437.1', 'NM_001408438.1', 'NM_001408439.1', 'NM_001408440.1', 'NM_001408441.1', 'NM_001408442.1', 'NM_001408443.1', 'NM_001408444.1', 'NM_001408445.1', 'NM_001408446.1', 'NM_001408447.1', 'NM_001408448.1', 'NM_001408450.1', 'NM_001408451.1', 'NM_001408452.1', 'NM_001408453.1', 'NM_001408454.1', 'NM_001408455.1', 'NM_001408456.1', 'NM_001408457.1', 'NM_001408458.1', 'NM_001408459.1', 'NM_001408460.1', 'NM_001408461.1', 'NM_001408462.1', 'NM_001408463.1', 'NM_001408464.1', 'NM_001408465.1', 'NM_001408466.1', 'NM_001408467.1', 'NM_001408468.1', 'NM_001408469.1', 'NM_001408470.1', 'NM_001408472.1', 'NM_001408473.1', 'NM_001408474.1', 'NM_001408475.1', 'NM_001408476.1', 'NM_001408478.1', 'NM_001408479.1', 'NM_001408480.1', 'NM_001408481.1', 'NM_001408482.1', 'NM_001408483.1', 'NM_001408484.1', 'NM_001408485.1', 'NM_001408489.1', 'NM_001408490.1', 'NM_001408491.1', 'NM_001408492.1', 'NM_001408493.1', 'NM_001408494.1', 'NM_001408495.1', 'NM_001408496.1', 'NM_001408497.1', 'NM_001408498.1', 'NM_001408499.1', 'NM_001408500.1', 'NM_001408501.1', 'NM_001408502.1', 'NM_001408503.1', 'NM_001408504.1', 'NM_001408505.1', 'NM_001408506.1', 'NM_001408507.1', 'NM_001408508.1', 'NM_001408509.1', 'NM_001408510.1', 'NM_001408511.1', 'NM_001408512.1', 'NM_001408513.1', 'NM_001408514.1', 'NM_007297.4', 'NM_007298.4', 'NM_007299.4', 'NM_007300.4']
BRCA2	NC_000013.11	+	['NM_000059.4 (MANE)', 'NM_001406719.1', 'NM_001406720.1', 'NM_001406721.1', 'NM_001406722.1', 'NM_001432077.1']
BRCC3	NC_000023.11	+	['NM_001018055.3 (MANE)', 'NM_001242640.2', 'NM_024332.4', 'XM_005274751.5']
BRD1	NC_000022.11	-	['NM_001304808.3 (MANE)', 'NM_001304809.1', 'NM_001349940.2', 'NM_001349941.2', 'NM_001349942.2', 'NM_001394548.1', 'NM_001394549.1', 'NM_001394550.1', 'NM_001394551.1', 'NM_001394552.1', 'XM_017028716.2', 'XM_017028718.2', 'XM_017028722.3', 'XM_047441271.1', 'XM_047441272.1', 'XM_047441273.1', 'XM_047441274.1', 'XM_047441275.1', 'XM_047441276.1', 'XM_047441277.1', 'XM_047441278.1', 'XM_047441279.1', 'XM_047441280.1', 'XM_047441281.1', 'XM_047441282.1', 'XM_047441283.1']
BRD10	NC_000009.12	-	['NM_001017969.3 (MANE)', 'XM_005251385.4', 'XM_011517759.4', 'XM_011517760.4', 'XM_011517761.3', 'XM_017014331.3', 'XM_024447429.2', 'XM_047422860.1', 'XM_047422861.1', 'XM_047422862.1']
BRD2	NC_000006.12	+	['NM_005104.4 (MANE)', 'NM_001113182.3', 'NM_001199455.1', 'NM_001199456.2', 'NM_001291986.2', 'XM_047419222.1', 'XM_047419223.1']
BRD3	NC_000009.12	-	['NM_007371.4 (MANE)', 'XM_006717291.4', 'XM_011519052.3', 'XM_017015165.3', 'XM_047423903.1', 'XM_047423904.1', 'XM_047423905.1', 'XM_047423906.1']
BRD3OS	NC_000009.12	+	['NM_001355256.2 (MANE)']
BRD4	NC_000019.10	-	['NM_001379291.1 (MANE)', 'NM_001330384.2', 'NM_001379292.1', 'NM_014299.3', 'NM_058243.3', 'XM_047438540.1', 'XM_047438541.1', 'XM_047438542.1', 'XM_047438543.1', 'XM_047438544.1']
BRD7	NC_000016.10	-	['NM_013263.5 (MANE)', 'NM_001173984.3', 'XM_011523046.4', 'XM_011523047.3', 'XM_011523048.3', 'XM_011523049.3', 'XM_011523050.4', 'XM_017023179.2', 'XM_017023180.2', 'XM_047434006.1', 'XM_047434007.1', 'XM_047434008.1']
BRD8	NC_000005.10	-	['NM_139199.2 (MANE)', 'NM_001164326.2', 'NM_001300961.3', 'NM_001300962.3', 'NM_001300966.3', 'NM_006696.5']
BRD9	NC_000005.10	-	['NM_023924.5 (MANE)', 'NM_001009877.3', 'NM_001317951.2', 'NM_001375861.1', 'NM_001375862.1', 'NM_001375863.1', 'NM_001375877.1', 'NM_001375878.1', 'NM_001375879.1', 'XM_006714494.4', 'XM_024446195.2', 'XM_024446196.2', 'XM_024446198.2', 'XM_024446199.2', 'XM_024446200.2', 'XM_047417600.1', 'XM_047417601.1', 'XM_047417602.1', 'XM_047417603.1', 'XM_047417604.1', 'XM_047417605.1', 'XM_047417606.1']
BRDT	NC_000001.11	+	['NM_207189.4 (MANE)', 'NM_001242805.2', 'NM_001242806.2', 'NM_001242807.2', 'NM_001242808.2', 'NM_001242810.2', 'NM_001726.4', 'XM_006710855.5', 'XM_006710856.5', 'XM_011542032.4', 'XM_011542034.4', 'XM_011542035.4', 'XM_011542036.4', 'XM_047428949.1', 'XM_047428955.1', 'XM_047428967.1']
BRF1	NC_000014.9	-	['NM_001519.4 (MANE)', 'NM_001242786.2', 'NM_001242787.2', 'NM_001242788.2', 'NM_001242789.2', 'NM_001242790.2', 'NM_145685.3', 'XM_005267561.5', 'XM_005267563.5', 'XM_011536672.4', 'XM_011536673.3', 'XM_024449553.2', 'XM_047431302.1', 'XM_047431303.1', 'XM_047431304.1', 'XM_047431305.1', 'XM_047431306.1', 'XM_047431307.1', 'XM_047431308.1', 'XM_047431310.1', 'XM_047431311.1']
BRF2	NC_000008.11	-	['NM_018310.4 (MANE)']
BRI3	NC_000007.14	+	['NM_015379.5 (MANE)', 'NM_001159491.2', 'XM_017011931.3', 'XM_017011932.3', 'XM_017011933.3', 'XM_017011934.3', 'XM_017011936.2', 'XM_047420116.1', 'XM_047420117.1']
BRI3BP	NC_000012.12	+	['NM_080626.6 (MANE)', 'XM_011537940.3']
BRICD5	NC_000016.10	-	['NM_182563.4 (MANE)', 'XM_047433958.1', 'XM_047433959.1']
BRINP1	NC_000009.12	-	['NM_014618.3 (MANE)']
BRINP2	NC_000001.11	+	['NM_021165.4 (MANE)', 'XM_005245379.3', 'XM_024448722.2']
